PRESNATN_DAYHMINSEC,WTCD_RGDVS_CD,WTCD_RGDVS,PRSNT_WETHER_CN,NOPHN_CD,VSBT_DIST,ALL_CLAM,MFALF_CLAM,ACLF,PRSNT_CELSTEMP,DWP_CELSTEMP,DSFX,FEEL_CELSTEMP,TOP_CELSTEMP,NMYR_TOP_CELSTEMP,CTNY_TOP_CELSTEMP,LWST_CELSTEMP,NMYR_LWST_CELSTEMP,CTNY_LWST_CELSTEMP,DAY_PRCPT,PCNTS_PRCPT,NW_MSNF,MSNF,RLTV_HMDT,WNDRC_CN,WIND_MPS,LAST_CHANGE_DAYHMINSEC
2026040603,247,남원,援щ쫫留롮쓬,-99.0,28.4,6,6,-99.0,10.3,4.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,69.0,29.0,1.0,202604.0
2026040312,135,추풍령,援щ쫫留롮쓬,-99.0,21.01,7,7,-99.0,20.0,4.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,35.0,11.0,1.1,202604.0
2026040620,238,금산,?먮┝,-99.0,49.65,9,2,-99.0,11.1,1.3,-99,-99,-99,-99,-99,-99,-99,-99.0,12.5,-99,-99,-99.0,51.0,32.0,2.1,202604.0
2026040118,130,울진,?먮┝,-99.0,13.68,10,6,-99.0,12.4,9.2,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,81.0,23.0,1.6,203000.0
2026040505,271,봉화,留묒쓬,-99.0,12.65,0,0,-99.0,5.5,3.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,89.0,16.0,0.8,202604.0
2026040305,159,부산,?먮┝,-99.0,43.39,9,0,-99.0,13.5,-5.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,27.0,5.0,3.6,202604.0
2026040606,152,울산,援щ쫫留롮쓬,-99.0,15.77,7,0,-99.0,10.5,7.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,80.0,0.0,0.4,202604.0
2026040323,188,성산,?먮┝,-99.0,3.79,10,4,-99.0,14.9,13.6,-99,-99,-99,-99,-99,-99,-99,-99.0,8.0,-99,-99,-99.0,92.0,14.0,6.9,202604.0
2026040702,243,부안,援щ쫫議곌툑,-99.0,45.92,4,0,-99.0,4.2,1.3,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,82.0,7.0,0.7,202604.0
2026040522,108,서울,?쏀븳鍮꾨떒??留ㅼ떆3mm?댄븯),60.0,13.53,10,9,-99.0,12.3,3.7,-99,-99,-99,-99,-99,-99,-99,-99.0,0.1,-99,-99,-99.0,56.0,9.0,1.1,202604.0
2026040609,162,통영,?먮┝,-99.0,16.21,10,6,-99.0,16.3,12.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,80.0,25.0,3.3,202604.0
2026040321,289,산청,?먮┝,-99.0,10.3,10,1,-99.0,14.3,6.6,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,60.0,2.0,2.3,202604.0
2026040423,115,울릉도,援щ쫫議곌툑,-99.0,1.65,4,1,-99.0,11.3,10.5,-99,-99,-99,-99,-99,-99,-99,-99.0,57.5,-99,-99,-99.0,95.0,23.0,2.2,202604.0
2026033108,98,동두천,留묒쓬,-99.0,10.01,0,0,-99.0,9.6,6.3,-99,-99,-99,-99,-99,-99,-99,-99.0,5.5,-99,-99,-99.0,80.0,2.0,1.8,203000.0
2026040607,289,산청,?먮┝,-99.0,19.4,9,3,-99.0,8.9,6.5,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,85.0,20.0,0.8,202604.0
2026040610,105,강릉,援щ쫫議곌툑,-99.0,50.0,4,0,-99.0,15.3,4.3,-99,-99,-99,-99,-99,-99,-99,-99.0,4.099999,-99,-99,-99.0,48.0,27.0,1.2,202604.0
2026040112,168,여수,?먮┝,-99.0,18.13,9,9,-99.0,13.8,8.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,72.0,23.0,1.1,203000.0
2026040119,217,정선군,?먮┝,-99.0,5.23,10,2,-99.0,10.7,9.6,-99,-99,-99,-99,-99,-99,-99,-99.0,0.5,-99,-99,-99.0,93.0,0.0,0.4,203000.0
2026040322,216,태백,?먮┝,-99.0,28.95,10,10,-99.0,14.1,-2.3,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,32.0,20.0,2.4,202604.0
2026033118,121,영월,?먮┝,-99.0,49.99,9,9,-99.0,11.9,5.9,-99,-99,-99,-99,-99,-99,-99,-99.0,12.4,-99,-99,-99.0,67.0,9.0,2.0,203000.0
2026040103,130,울진,?먮┝,-99.0,7.24,10,0,-99.0,7.3,6.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,97.0,27.0,1.6,203000.0
2026033119,143,대구,?먮┝,-99.0,38.33,10,10,-99.0,13.4,7.3,-99,-99,-99,-99,-99,-99,-99,-99.0,17.3,-99,-99,-99.0,67.0,9.0,4.099999,203000.0
2026040308,169,흑산도,"?덇컻,?섎뒛蹂댁엫(?쏀빐吏?",42.0,0.62,10,10,-99.0,10.4,10.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,98.0,14.0,4.2,202604.0
2026040606,263,의령군,?먮┝,-99.0,9.8,9,6,-99.0,7.9,4.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,81.0,0.0,0.3,202604.0
2026033107,277,영덕,?먮┝,-99.0,3.5,10,10,-99.0,10.8,10.3,-99,-99,-99,-99,-99,-99,-99,-99.0,33.4,-99,-99,-99.0,97.0,5.0,10.9,203000.0
2026040717,294,거제,留묒쓬,-99.0,48.25,0,0,-99.0,14.8,-8.6,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,19.0,36.0,1.0,202604.0
2026040713,288,밀양,留묒쓬,-99.0,50.0,0,0,-99.0,13.5,-8.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,21.0,29.0,4.2,202604.0
2026040112,245,정읍,?먮┝,-99.0,13.32,10,2,-99.0,15.0,10.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,73.0,23.0,2.1,203000.0
2026040112,137,상주,?먮┝,-99.0,17.79,9,3,-99.0,15.6,9.0,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,65.0,11.0,1.1,203000.0
2026040110,279,구미,?먮┝,-99.0,13.77,9,9,-99.0,12.3,7.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,75.0,7.0,0.9,203000.0
2026040207,248,장수,留묒쓬,-99.0,8.61,0,0,-99.0,0.2,0.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,100.0,0.0,0.0,202604.0
2026040613,152,울산,"鍮꾨걹??,21.00""",21.14,10.0,8,-99,18.3,11.5,-99.0,-99,-99,-99,-99,-99,-99,-99,0.0,-99.0,-99,-99,65.0,20.0,2.8,202604.0,
2026033107,983,,?먮┝,-99.0,23.5,10,6,-99.0,10.3,8.5,-99,-99,-99,-99,-99,-99,-99,-99.0,6.7,-99,-99,-99.0,89.0,0.0,0.4,203000.0
2026033110,221,제천,?먮┝,-99.0,50.0,9,9,-99.0,12.5,7.3,-99,-99,-99,-99,-99,-99,-99,-99.0,17.2,-99,-99,-99.0,71.0,5.0,3.4,203000.0
2026040200,243,부안,留묒쓬,-99.0,12.7,0,0,-99.0,5.7,3.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,86.0,0.0,0.0,202604.0
2026033112,106,동해,?먮┝,-99.0,20.03,9,8,-99.0,11.3,7.7,-99,-99,-99,-99,-99,-99,-99,-99.0,32.0,-99,-99,-99.0,79.0,36.0,4.2,203000.0
2026040218,271,봉화,留묒쓬,-99.0,18.2,0,0,-99.0,14.9,-1.2,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,33.0,20.0,1.3,202604.0
2026040115,266,광양시,?먮┝,-99.0,7.82,10,1,-99.0,14.8,11.3,-99,-99,-99,-99,-99,-99,-99,-99.0,1.4,-99,-99,-99.0,80.0,25.0,1.4,203000.0
2026033112,202,양평,?먮┝,-99.0,50.0,9,3,-99.0,15.4,6.9,-99,-99,-99,-99,-99,-99,-99,-99.0,10.2,-99,-99,-99.0,57.0,32.0,1.1,203000.0
2026040511,289,산청,援щ쫫留롮쓬,-99.0,50.0,7,0,-99.0,14.4,4.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,53.0,2.0,1.0,202604.0
2026033114,185,고산,援щ쫫議곌툑,-99.0,8.38,5,5,-99.0,12.7,10.4,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,86.0,32.0,6.7,203000.0
2026040711,982,,留묒쓬,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,,-99.0,202604.0
2026040503,137,상주,留묒쓬,-99.0,27.84,0,0,-99.0,8.5,3.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,69.0,29.0,2.7,202604.0
2026040220,289,산청,留묒쓬,-99.0,50.0,0,0,-99.0,14.7,-3.6,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,28.0,27.0,2.5,202604.0
2026033123,137,상주,?먮┝,-99.0,38.49,9,9,-99.0,12.6,7.6,-99,-99,-99,-99,-99,-99,-99,-99.0,26.8,-99,-99,-99.0,72.0,7.0,1.2,203000.0
2026040208,165,목포,諛뺣Т,10.0,5.89,0,0,-99.0,8.5,7.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,95.0,34.0,0.8,202604.0
2026040206,101,춘천,留묒쓬,-99.0,0.11,0,0,-99.0,5.9,5.1,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,95.0,0.0,0.4,202604.0
2026033121,288,밀양,?먮┝,-99.0,49.06,10,5,-99.0,13.8,9.2,-99,-99,-99,-99,-99,-99,-99,-99.0,10.7,-99,-99,-99.0,74.0,7.0,1.7,203000.0
2026040112,279,구미,?먮┝,-99.0,16.87,10,1,-99.0,13.9,8.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,68.0,29.0,1.9,203000.0
2026040302,226,보은,留묒쓬,-99.0,11.42,0,0,-99.0,4.8,2.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,85.0,0.0,0.0,202604.0
2026033112,247,남원,援щ쫫議곌툑,-99.0,42.46,5,4,-99.0,17.7,9.8,-99,-99,-99,-99,-99,-99,-99,-99.0,6.1,-99,-99,-99.0,60.0,36.0,1.3,203000.0
2026040719,121,영월,留묒쓬,-99.0,50.0,0,0,-99.0,10.3,-9.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,23.0,25.0,2.6,202604.0
2026040303,288,밀양,援щ쫫留롮쓬,-99.0,44.66,8,0,-99.0,7.5,2.9,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,73.0,7.0,0.5,202604.0
2026040720,101,춘천,留묒쓬,-99.0,50.0,0,0,-99.0,10.8,-4.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,35.0,23.0,3.4,202604.0
2026040105,136,안동,?먮┝,-99.0,-99.0,9,6,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,,-99.0,203000.0
2026040710,983,,留묒쓬,-99.0,50.0,0,0,-99.0,10.2,-8.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,27.0,7.0,4.0,202604.0
2026040206,108,서울,?곕Т,5.0,8.68,0,0,-99.0,6.7,2.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,76.0,25.0,1.3,202604.0
2026040317,104,북강릉,援щ쫫留롮쓬,-99.0,19.15,6,0,-99.0,20.4,7.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,44.0,11.0,2.6,202604.0
2026040311,102,백령도,"?덇컻??,28.00""",1.37,10.0,10,-99,7.3,6.8,-99.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,97.0,14.0,5.9,202604.0,
2026040119,98,동두천,援щ쫫留롮쓬,-99.0,9.82,7,7,-99.0,14.1,4.0,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,51.0,25.0,2.4,203000.0
2026040701,262,고흥,援щ쫫留롮쓬,-99.0,42.6,6,0,-99.0,9.9,1.2,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,55.0,34.0,2.0,202604.0
2026040412,284,거창,?먮┝,-99.0,50.0,9,3,-99.0,15.0,10.7,-99,-99,-99,-99,-99,-99,-99,-99.0,34.5,-99,-99,-99.0,76.0,7.0,4.6,202604.0
2026033112,114,원주,?먮┝,-99.0,50.0,9,8,-99.0,14.4,7.6,-99,-99,-99,-99,-99,-99,-99,-99.0,11.2,-99,-99,-99.0,64.0,2.0,4.0,203000.0
2026040313,259,강진군,援щ쫫留롮쓬,-99.0,12.71,8,8,-99.0,20.6,7.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,43.0,20.0,3.0,202604.0
2026033116,258,보성군,援щ쫫留롮쓬,-99.0,43.49,8,4,-99.0,18.4,12.1,-99,-99,-99,-99,-99,-99,-99,-99.0,2.5,-99,-99,-99.0,67.0,20.0,4.6,203000.0
2026040614,108,서울,"鍮꾨걹??,21.00""",33.42,8.0,8,-99,11.7,5.7,-99.0,-99,-99,-99,-99,-99,-99,-99,1.2,-99.0,-99,-99,67.0,27.0,3.6,202604.0,
2026040503,272,영주,留묒쓬,-99.0,24.58,0,0,-99.0,9.7,4.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,70.0,27.0,5.0,202604.0
2026040311,172,고창,援щ쫫留롮쓬,-99.0,8.24,7,4,-99.0,17.6,8.4,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,55.0,20.0,2.4,202604.0
2026040419,244,임실,?먮┝,-99.0,4.96,10,10,-99.0,9.1,8.3,-99,-99,-99,-99,-99,-99,-99,-99.0,42.6,-99,-99,-99.0,95.0,32.0,2.7,202604.0
2026040116,203,이천,?먮┝,-99.0,5.06,10,3,-99.0,15.0,10.5,-99,-99,-99,-99,-99,-99,-99,-99.0,0.0,-99,-99,-99.0,75.0,20.0,1.0,203000.0
2026040705,289,산청,援щ쫫留롮쓬,-99.0,50.0,8,0,-99.0,5.0,-4.5,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,50.0,29.0,1.4,202604.0
2026040313,226,보은,援щ쫫留롮쓬,-99.0,24.05,8,1,-99.0,19.9,4.3,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,36.0,27.0,1.1,202604.0
2026040305,192,진주,援щ쫫留롮쓬,-99.0,45.37,6,6,-99.0,4.5,0.8,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,77.0,0.0,0.1,202604.0
2026040721,278,의성,留묒쓬,-99.0,50.0,0,0,-99.0,7.1,-3.7,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,46.0,11.0,1.1,202604.0
2026040313,255,북창원,援щ쫫議곌툑,-99.0,40.73,3,1,-99.0,24.5,1.3,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,22.0,16.0,2.7,202604.0
